current_figure_number,tex_file,label,section,current_image_path,short_title,long_caption,action,replacement_image,border_needed,ocr_needed,target_section,duplicate_of,delete_confirmed
4.5,chap4/feature_engineering.tex,fig:pca_scree_detailed,Dimensionality Reduction: PCA Analysis,notebook/final_traditional_pca_scree_plot_explained_variance_1.png,PCA Scree Plot,Detailed scree plot from the traditional PCA pipeline showing individual and cumulative variance explained by each principal component.,included,,yes,no,Dimensionality Reduction: PCA Analysis,,no
,,,,notebook/final_traditional_pca_visualize_confusion_matrix_and_3.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_visualize_confusion_matrix_and_7.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_visualize_fairness_metrics_acr_18.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_visualize_top_features_2.png,,,intentionally_excluded,,no,no,,,no
7.6,chap7/fairness_explainability.tex,fig:shap_xgb_detailed,XGBoost,notebook/final_traditional_shap_summary_plot_bar_shows_fe_10.png,Detailed SHAP importance bar plot for XGBoost on the traditional,Detailed SHAP importance bar plot for XGBoost on the traditional dataset. The sharper drop-off after the top-ranked features reflects the more concentrated gradient-boosting structure.,included,,no,no,XGBoost,,no
7.8,chap7/fairness_explainability.tex,fig:shap_lgbm_detailed,LightGBM,notebook/final_traditional_shap_summary_plot_bar_shows_fe_14.png,Detailed SHAP importance bar plot for LightGBM on the traditional,Detailed SHAP importance bar plot for LightGBM on the traditional dataset. The diversified importance profile is consistent with the champion model's broader use of behavioural and contextual features.,included,,no,no,LightGBM,,no
7.2,chap7/fairness_explainability.tex,fig:shap_lr_detailed,Logistic Regression,notebook/final_traditional_shap_summary_plot_bar_shows_fe_3.png,Detailed SHAP importance bar plot for Logistic Regression on the,"Detailed SHAP importance bar plot for Logistic Regression on the traditional dataset. The dominant features align with the paired traditional-versus-combined comparison above, so the repeated beeswarm panel is omitted here for concision.",included,,no,no,Logistic Regression,,no
7.4,chap7/fairness_explainability.tex,fig:shap_rf_detailed,Random Forest,notebook/final_traditional_shap_summary_plot_bar_shows_fe_6.png,Detailed SHAP importance bar plot for Random Forest on the,"Detailed SHAP importance bar plot for Random Forest on the traditional dataset. EXT\_SOURCE variables remain dominant, with the importance tail flatter than the boosting models due to bagging.",included,,no,no,Random Forest,,no
,,,,notebook/final_traditional_shap_summary_plot_beeswarm_sho_11.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_shap_summary_plot_beeswarm_sho_15.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_shap_summary_plot_beeswarm_sho_4.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_shap_summary_plot_beeswarm_sho_7.png,,,intentionally_excluded,,no,no,,,no
5.1,chap5/predictive_modeling.tex,fig:traditional_lr_cm,Traditional Dataset Results,notebook/final_traditional_visualize_confusion_matrix_2.png,Traditional LR Confusion Matrix,Confusion matrix for the Logistic Regression baseline on the traditional dataset. The balanced class weighting produces approximately equal true positive and true negative rates at the cost of overall accuracy.,included,,no,no,Traditional Dataset Results,,no
,,,,notebook/final_traditional_visualize_confusion_matrix_and_13.png,,,intentionally_excluded,,no,no,,,no
5.2,chap5/predictive_modeling.tex,fig:traditional_tree_cm,Traditional Dataset Results,notebook/final_traditional_visualize_confusion_matrix_and_9.png,Confusion matrices for Random Forest and XGBoost on the traditional,Confusion matrices for Random Forest and XGBoost on the traditional dataset. Tree-based models show higher accuracy but lower recall compared to balanced Logistic Regression.,included,,no,no,Traditional Dataset Results,,no
7.10,chap7/fairness_explainability.tex,fig:fairness_traditional,Gender Fairness Analysis,notebook/final_traditional_visualize_fairness_metrics_acr_16.png,"Detailed fairness metrics for the traditional dataset across all models,","Detailed fairness metrics for the traditional dataset across all models, showing selection rates, true positive rates, and false positive rates by gender group.",included,,no,no,Gender Fairness Analysis,,no
5.6,chap5/predictive_modeling.tex,fig:traditional_top_features_lgbm,Traditional Dataset Results,notebook/final_traditional_visualize_top_20_features_12.png,Top 20 features for LightGBM on the traditional dataset,"Top 20 features for LightGBM on the traditional dataset. The leaf-wise growth strategy produces a slightly different feature ranking, with temporal and contextual features gaining relative importance.",included,,no,no,Traditional Dataset Results,,no
5.4,chap5/predictive_modeling.tex,fig:traditional_top_features_rf,Traditional Dataset Results,notebook/final_traditional_visualize_top_20_features_5.png,"Top 20 features for Random Forest on the traditional dataset,","Top 20 features for Random Forest on the traditional dataset, ranked by impurity-based importance.",included,,no,no,Traditional Dataset Results,,no
5.5,chap5/predictive_modeling.tex,fig:traditional_top_features_xgb,Traditional Dataset Results,notebook/final_traditional_visualize_top_20_features_8.png,Top 20 features for XGBoost on the traditional dataset,Top 20 features for XGBoost on the traditional dataset. XGBoost's feature importance ranking shows strong agreement with Random Forest on the top features.,included,,no,no,Traditional Dataset Results,,no
5.3,chap5/predictive_modeling.tex,fig:traditional_top_features_lr,Traditional Dataset Results,notebook/final_traditional_visualize_top_features_1.png,Top features for Logistic Regression on the traditional dataset,"Top features for Logistic Regression on the traditional dataset. EXT\_SOURCE variables dominate, followed by age-related and financial ratio features.",included,,no,no,Traditional Dataset Results,,no
3.21,chap3/data_collection.tex,fig:bivariate_1,Bivariate Analysis,notebook/home_credit_eda_10_bivariate_analysis_scatter__18.png,Scatter plots of key financial variable pairs coloured by target,Scatter plots of key financial variable pairs coloured by target. The substantial overlap between classes confirms that default risk is not separable in any single two-dimensional projection.,included,,no,no,Bivariate Analysis,,no
,,,,notebook/home_credit_eda_10_bivariate_analysis_scatter__19.png,,,intentionally_excluded,,no,no,Excluded from bivariate section,,yes
,,,,notebook/home_credit_eda_10_bivariate_analysis_scatter__20.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_eda_13_pos_cash_balance_analysis_28.png,,,duplicate_delete,notebook/home_credit_eda_13_pos_cash_balance_analysis_29.png,no,no,Chapter 3 / POS Cash Balance,fig:pos_cash_detailed,yes
3.31,chap3/data_collection.tex,fig:pos_cash_detailed,POS Cash Balance,notebook/home_credit_eda_13_pos_cash_balance_analysis_29.png,Remaining Installments Over Time,Detailed POS Cash Balance analysis showing average remaining instalments over time. The curve peaks mid-lifecycle and then declines as accounts mature toward closure.,included,,yes,no,POS Cash Balance,,no
,,,,notebook/home_credit_eda_14_credit_card_balance_analysi_30.png,,,duplicate_delete,notebook/home_credit_eda_14_credit_card_balance_analysi_31.png,no,no,Chapter 3 / Credit Card Balance,fig:credit_card_detailed,yes
3.32,chap3/data_collection.tex,fig:credit_card_detailed,Credit Card Balance,notebook/home_credit_eda_14_credit_card_balance_analysi_31.png,Credit Card Balance Over Time,Detailed credit card balance analysis showing average card balance over time. The balance trough around month -40 and the sharp rise toward the most recent months suggest changing utilisation behaviour as accounts mature.,included,,yes,no,Credit Card Balance,,no
,,,,notebook/home_credit_eda_15_installments_payments_analy_32.png,,,duplicate_delete,notebook/home_credit_eda_15_installments_payments_analy_33.png,no,no,Chapter 3 / Installments Payments,fig:installments_detailed,yes
3.33,chap3/data_collection.tex,fig:installments_detailed,Installments Payments,notebook/home_credit_eda_15_installments_payments_analy_33.png,Payment Delay by Version,"Detailed instalment payment analysis showing average payment delay by instalment version. Borrowers tend to pay several days early on average, although the early-payment advantage narrows slightly across later instalment versions.",included,,yes,no,Installments Payments,,no
3.39,chap3/data_collection.tex,fig:skewness,Feature Distribution and Skewness,notebook/home_credit_eda_16_feature_distribution_skewne_34.png,Feature distribution and skewness analysis,"Feature distribution and skewness analysis. Many financial features exhibit high positive skewness, necessitating log transformation or winsorisation for linear model compatibility.",included,,no,no,Feature Distribution and Skewness,,no
,,,,notebook/home_credit_eda_17_bureau_balance_analysis_35.png,,,duplicate_delete,notebook/home_credit_eda_17_bureau_balance_analysis_36.png,no,no,Chapter 3 / Bureau Data Analysis,fig:bureau_balance_1,yes
3.29,chap3/data_collection.tex,fig:bureau_balance_1,Bureau Data Analysis (External),notebook/home_credit_eda_17_bureau_balance_analysis_36.png,Bureau Status Over Time,"Bureau balance monthly status analysis. The temporal composition of bureau balance statuses shows that on-time and closed states dominate throughout the observation window, while delinquent states remain a small minority.",included,,yes,no,Bureau Data Analysis (External),,no
3.35,chap3/data_collection.tex,fig:flag_documents,Flag Document Analysis,notebook/home_credit_eda_18_flag_document_analysis_37.png,Flag document analysis showing the distribution of document provision flags,Flag document analysis showing the distribution of document provision flags and their association with default risk. Applicants who provide fewer documents tend to have slightly elevated default rates.,included,,no,no,Flag Document Analysis,,no
3.36,chap3/data_collection.tex,fig:temporal_features,Temporal Features,notebook/home_credit_eda_19_other_temporal_features_day_38.png,"Temporal feature analysis including DAYS\_REGISTRATION, DAYS\_ID\_PUBLISH, and related variables","Temporal feature analysis including \texttt{DAYS\_REGISTRATION}, \texttt{DAYS\_ID\_PUBLISH}, and related variables. These features capture the recency of identity document issuance and registration events.",included,,no,no,Temporal Features,,no
3.37,chap3/data_collection.tex,fig:bureau_inquiry,Credit Bureau Inquiry Features,notebook/home_credit_eda_20_credit_bureau_inquiry_featu_39.png,Credit bureau inquiry features showing the distribution of recent inquiries,Credit bureau inquiry features showing the distribution of recent inquiries across applicants. A higher number of recent bureau inquiries is weakly associated with elevated default risk.,included,,no,no,Credit Bureau Inquiry Features,,no
3.38,chap3/data_collection.tex,fig:binary_flags,Binary Flag Features,notebook/home_credit_eda_21_binary_flag_features_owners_40.png,"Binary flag feature analysis including car ownership, property ownership, and","Binary flag feature analysis including car ownership, property ownership, and various contact availability flags. Property and car ownership show weak but consistent negative associations with default.",included,,no,no,Binary Flag Features,,no
3.18,chap3/data_collection.tex,fig:binned_financial_1,Financial Variables,notebook/home_credit_eda_22_default_rate_by_binned_fina_41.png,"Default rates by binned financial features, revealing non-linear risk patterns","Default rates by binned financial features, revealing non-linear risk patterns. Lower income and higher credit amounts relative to income show elevated default risk.",included,,no,no,Financial Variables,,no
3.19,chap3/data_collection.tex,fig:binned_financial_2,Financial Variables,notebook/home_credit_eda_22_default_rate_by_binned_fina_42.png,Continuation of binned financial feature analysis,Continuation of binned financial feature analysis. Credit-to-income and annuity-to-income ratios show clearer risk gradients than raw amounts.,included,,no,no,Financial Variables,,no
,,,,notebook/home_credit_eda_3_target_variable_analysis_1.png,,,intentionally_excluded,,no,no,,,no
3.5,chap3/data_collection.tex,fig:missing_values_eda,Missing Value Analysis,notebook/home_credit_eda_4_missing_values_analysis_2.png,"Detailed missing values analysis from the EDA notebook, showing the","Detailed missing values analysis from the EDA notebook, showing the distribution and pattern of missingness across all features.",included,,no,no,Missing Value Analysis,,no
,,,,notebook/home_credit_eda_6_univariate_analysis_numerica_11.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_eda_7_external_source_features_mos_14.png,,,duplicate_delete,pptx/key feature distributions - external source distributions by target.png,no,no,Chapter 3 / External Risk Score Analysis,fig:ext_source_dist,yes
3.7,chap3/data_collection.tex,fig:outlier_boxplots,Outlier Treatment,notebook/home_credit_eda_8_outlier_detection_with_box_p_15.png,Boxplots of key financial features showing outlier profiles,Boxplots of key financial features showing outlier profiles. Income and credit amount variables exhibit heavy right tails.,included,,no,no,Outlier Treatment,,no
3.25,chap3/data_collection.tex,fig:correlation_analysis,Correlation Analysis,notebook/home_credit_eda_9_correlation_analysis_16.png,Top features correlated with the target variable,"Top features correlated with the target variable. External source scores dominate the positive and negative correlation rankings, while traditional financial variables exhibit weak individual correlations.",included,,no,no,Correlation Analysis,,no
3.20,chap3/data_collection.tex,fig:age_distribution,Age Analysis,notebook/home_credit_eda_age_distribution_days_birth_ye_12.png,Age and Default Risk,Detailed age distribution analysis. The \texttt{DAYS\_BIRTH} variable (converted to years) shows a clear inverse relationship between age and default probability.,included,,yes,no,Age Analysis,,no
3.28,chap3/data_collection.tex,fig:bureau_detailed_1,Bureau Data Analysis (External),notebook/home_credit_eda_bureau_credit_active_status_di_21.png,Bureau Credit Status,Detailed bureau credit status distribution from the EDA notebook. The breakdown by credit status reveals the predominance of closed and active credits.,included,,yes,no,Bureau Data Analysis (External),,no
,,,,notebook/home_credit_eda_bureau_credit_active_status_di_22.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_eda_bureau_credit_active_status_di_23.png,,,intentionally_excluded,,no,no,Excluded from main narrative,,yes
,,,,notebook/home_credit_eda_bureau_credit_active_status_di_24.png,,,intentionally_excluded,,no,no,,,no
3.9,chap3/data_collection.tex,fig:contract_gender_1,Contract Type and Gender,notebook/home_credit_eda_contract_type_gender_3.png,Distribution of contract types and gender,Distribution of contract types and gender. Cash loans constitute 90.5\% of applications and carry a higher default rate than revolving loans.,included,,no,no,Contract Type and Gender,,no
3.10,chap3/data_collection.tex,fig:contract_gender_2,Contract Type and Gender,notebook/home_credit_eda_contract_type_gender_4.png,Gender Default Rates,Default rates by contract type and gender. Male applicants exhibit a higher default rate (10.1\%) compared to female applicants (7.0\%).,included,,yes,no,Contract Type and Gender,,no
3.6,chap3/data_collection.tex,fig:days_employed_anomaly,DAYS\_EMPLOYED Anomaly,notebook/home_credit_eda_days_employed_analysis_detect__13.png,Employment duration distribution before and after anomaly treatment,"Employment duration distribution before and after anomaly treatment. The spike at 365,243 days (approximately 18\% of records) is clearly visible in the pre-treatment distribution.",included,,no,no,DAYS\_EMPLOYED Anomaly,,no
,,,,notebook/home_credit_eda_define_a_set_of_relevant_featu_17.png,,,intentionally_excluded,,no,no,Excluded from correlation section,,yes
3.11,chap3/data_collection.tex,fig:income_education_1,Education and Income Type,notebook/home_credit_eda_income_type_education_family_s_5.png,Income type distribution and associated default rates,Income type distribution and associated default rates. Working-class and commercial associate applicants form the largest segments.,included,,no,no,Education and Income Type,,no
3.12,chap3/data_collection.tex,fig:income_education_2,Education and Income Type,notebook/home_credit_eda_income_type_education_family_s_6.png,Education level distribution and default rates,"Education level distribution and default rates. Lower education levels correspond to higher default probabilities, with ``Lower secondary'' education showing the highest default rate.",included,,no,no,Education and Income Type,,no
3.13,chap3/data_collection.tex,fig:family_status,Family Status and Housing,notebook/home_credit_eda_income_type_education_family_s_7.png,Family status distribution and associated default rates,Family status distribution and associated default rates. Single and civil marriage applicants show higher default rates compared to married applicants.,included,,no,no,Family Status and Housing,,no
3.14,chap3/data_collection.tex,fig:housing_type,Family Status and Housing,notebook/home_credit_eda_income_type_education_family_s_8.png,Housing type distribution,"Housing type distribution. The majority of applicants own a house or apartment, with ``With parents'' and ``Renting'' categories showing elevated default risk.",included,,no,no,Family Status and Housing,,no
3.16,chap3/data_collection.tex,fig:organisation_type,Occupation and Organisation Type,notebook/home_credit_eda_occupation_type_organization_t_10.png,Organisation type analysis showing default rates across employer categories,"Organisation type analysis showing default rates across employer categories. Transport, construction, and industry-type employers exhibit the highest default rates.",included,,no,no,Occupation and Organisation Type,,no
3.15,chap3/data_collection.tex,fig:occupation_type,Occupation and Organisation Type,notebook/home_credit_eda_occupation_type_organization_t_9.png,Occupation type distribution,"Occupation type distribution. Labourers form the largest segment, while certain low-frequency occupations (drivers, security staff) show elevated default rates.",included,,no,no,Occupation and Organisation Type,,no
,,,,notebook/home_credit_eda_previous_application_contract__25.png,,,duplicate_delete,venky/shap_summary_plot_risk_drivers.png,no,no,Chapter 3 / Previous Application Analysis,fig:prev_app_contract_mix,yes
,,,,notebook/home_credit_eda_previous_application_contract__26.png,,,duplicate_delete,venky/shap_summary_plot_risk_drivers.png,no,no,Chapter 3 / Previous Application Analysis,fig:prev_app_contract_mix,yes
,,,,notebook/home_credit_eda_previous_application_contract__27.png,,,intentionally_excluded,,no,no,,,no
5.8,chap5/predictive_modeling.tex,fig:model_comparison_eval,Model Comparison Summary,notebook/home_credit_modeling_combined_12_model_comparison_evaluation_13.png,Model Comparison Curves,Model comparison evaluation showing ROC curves and performance metrics across all model families on the combined dataset.,included,,no,no,Model Comparison Summary,,no
6.6,chap6/credit_scoring.tex,fig:expected_loss,Expected Loss Framework,notebook/home_credit_modeling_combined_16_expected_loss_estimation_el_30.png,Expected Loss by Decile,"Expected loss estimation across risk deciles. The top decile accounts for a disproportionate share of total portfolio expected loss, validating the model's risk concentration ability.",included,,no,no,Expected Loss Framework,,no
6.7,chap6/credit_scoring.tex,fig:profit_curve,Cost-Sensitive Threshold Optimisation,notebook/home_credit_modeling_combined_17_profit_curve_cost_sensitive_31.png,Profit Curve,"Profit curve showing total portfolio profit as a function of the classification threshold. The optimal threshold (maximising profit) is substantially lower than the default 0.5, reflecting the asymmetric cost of missed defaults versus false rejections.",included,,no,no,Cost-Sensitive Threshold Optimisation,,no
,,,,notebook/home_credit_modeling_combined_1976d2_label_non_default_densi_11.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined_4_correlation_analysis_1.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__10.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__12.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__14.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__18.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__19.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__20.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__21.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__22.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__23.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__24.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__25.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__26.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__27.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__29.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__4.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__5.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__6.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__7.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined__8.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined_bdbdbd_weak_64b5f6_medium_4caf_9.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined_changed_from_30_to_20_for_a_le_2.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined_e53935_4caf50_1976d2_17.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined_ks_plot_15.png,,,intentionally_excluded,,no,no,,,no
7.12,chap7/fairness_explainability.tex,fig:psi,Population Stability Index (PSI),notebook/home_credit_modeling_combined_psi_distribution_visualization_28.png,PSI Distribution,PSI distribution visualisation comparing score distributions between training and validation populations. The PSI value confirms acceptable population stability.,included,,no,no,Population Stability Index (PSI),,no
,,,,notebook/home_credit_modeling_combined_summary_table_16.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/home_credit_modeling_combined_using_the_same_top_features_cu_3.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/pca__1.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/pca_plot_b_cumulative_explained_va_2.png,,,intentionally_excluded,,no,no,,,no
4.7,chap4/feature_engineering.tex,fig:pca_loadings,PCA Impact on Model Performance,notebook/pca_plot_c_pca_loadings_rotation_p_3.png,Rotated PCA Loadings,"PCA loadings after varimax rotation, showing how original features map to rotated components. The rotation improves interpretability by aligning components with recognisable feature groups.",included,,no,no,PCA Impact on Model Performance,,no
,,,,pg1.png,,,non_dissertation_asset,,no,no,,,no
,,,,pg2.png,,,non_dissertation_asset,,no,no,,,no
,,,,pg3.png,,,non_dissertation_asset,,no,no,,,no
,,,,pg4.png,,,non_dissertation_asset,,no,no,,,no
6.3,chap6/credit_scoring.tex,fig:abc_signals,Score Design Rationale,pptx/ABC framework - avg credit card balance over days past due.png,Behavioural signals used in B-Score and C-Score construction,"Behavioural signals used in B-Score and C-Score construction. Left: Average credit card balance increases with days past due. Right: Average remaining instalment count is higher for delinquent accounts, suggesting that longer-term loans are more vulnerable.",included,,no,no,Score Design Rationale,,no
6.3,chap6/credit_scoring.tex,fig:abc_signals,Score Design Rationale,pptx/ABC framework - avg remaining installments over days past due.png,Behavioural signals used in B-Score and C-Score construction,"Behavioural signals used in B-Score and C-Score construction. Left: Average credit card balance increases with days past due. Right: Average remaining instalment count is higher for delinquent accounts, suggesting that longer-term loans are more vulnerable.",included,,no,no,Score Design Rationale,,no
6.5,chap6/credit_scoring.tex,fig:ks_cal_lift,Lift Chart,"pptx/KS score metrics - KS plot, calibration curve, lift chart by risk decile.png",KS Calibration Lift,"Model validation diagnostics: KS plot (left), calibration curve (centre), and lift chart by risk decile (right). The KS of 0.428 and 3.74$\times$ top-decile lift confirm strong discriminatory power.",included,,no,no,Lift Chart,,no
,,,,pptx/PCA analysis.png,,,duplicate_delete,notebook/final_traditional_pca_scree_plot_explained_variance_1.png,no,no,Chapter 4 / PCA Analysis,fig:pca_scree_detailed,yes
7.7,chap7/fairness_explainability.tex,fig:shap_lgbm,LightGBM,pptx/SHAP explainability - LightGBM - combined.png,SHAP feature importance for LightGBM: Traditional (left) vs Combined (right),"SHAP feature importance for LightGBM: Traditional (left) vs Combined (right). The combined model leverages aggregated data from previous applications and instalment payment history, producing the most diversified feature importance profile.",included,,no,no,LightGBM,,no
